,epsilon,rewards,discounted_rewards,forecast
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
0,16.0,-494.58407743757635,-12.631328487564671,25
